latitude,longitude
38.88106083,-77.11533838
38.88005346,-77.11595332
38.88093715,-77.11640596
38.87996816,-77.11601394
38.88138395,-77.11556851
38.88139647,-77.11564362
38.87974703,-77.11598318
38.87969022,-77.1154859
38.87970983,-77.11530274
38.87970793,-77.11529815
38.8796842,-77.11539471
38.87969332,-77.11530435
38.87969988,-77.11591041
38.88143724,-77.11478394
38.8815732,-77.11455619
38.88154673,-77.11469429
38.88157737,-77.11462634
38.88160669,-77.11448079
38.88160783,-77.114477
38.88157981,-77.114642
38.88141357,-77.11484962
38.88160395,-77.11459022
38.88161092,-77.11455142
38.88160616,-77.11439394
38.8816086,-77.11458355
38.88145112,-77.11483669
38.88152045,-77.11477804
38.88141649,-77.1148625
38.88162308,-77.11441218
38.8816142,-77.11435759
38.88158559,-77.11470586
38.88162446,-77.11437678
38.88147187,-77.11484867
38.88162553,-77.11436891
38.88156569,-77.11475777
38.88162535,-77.11435669
38.88158553,-77.11473774
38.88147741,-77.11486297
38.881566,-77.11485427
38.88168,-77.1143859
38.88155686,-77.11480695
38.88164722,-77.11435991
38.88165903,-77.1144014
38.88144159,-77.1140722
38.88152474,-77.11412346
38.8816471,-77.11465734
38.88166379,-77.11437833
38.88134002,-77.11402976
38.88158988,-77.11480194
38.88168364,-77.11445981
38.88151955,-77.11488258
38.88135969,-77.11402219
38.88166946,-77.11463308
38.88156437,-77.11413609
38.88159155,-77.11481052
38.881332,-77.11400651
38.88169968,-77.11453354
38.88133615,-77.11399537
38.88168793,-77.11464738
38.88148528,-77.11403554
38.88164049,-77.11420023
38.88161075,-77.11483067
38.88140171,-77.1139853
38.88163012,-77.11481797
38.88169914,-77.11429029
38.88172066,-77.11435794
38.88173264,-77.11441981
38.88169705,-77.11425167
38.881704,-77.11426556
38.88172852,-77.1143319
38.88171833,-77.11428588
38.88175261,-77.11455583
38.88170462,-77.11475878
38.88122379,-77.11393213
38.88132381,-77.11391836
38.88137209,-77.11391937
38.88175648,-77.11436641
38.881703,-77.11396539
38.88156968,-77.11400794
38.88176977,-77.11453813
38.88171607,-77.11478084
38.88134866,-77.11390244
38.88096624,-77.11487352
38.88156688,-77.11398798
38.8813371,-77.11389219
38.88147109,-77.11392492
38.88123995,-77.11389786
38.88177251,-77.11434
38.88135164,-77.11388808
38.88178312,-77.11439216
38.8817653,-77.11429858
38.88178908,-77.11455655
38.88173216,-77.11478519
38.8817141,-77.11482745
38.881262,-77.11392742
38.88161849,-77.11496579
38.8813827,-77.11388021
38.88155156,-77.11395156
38.88178151,-77.11467546
38.88159388,-77.11397725
38.88122731,-77.11387401
38.88178282,-77.11427974
38.88130271,-77.11385822
38.88175958,-77.11477959
38.88181424,-77.11449939
38.88181304,-77.11444294
38.88119298,-77.11387157
38.88157325,-77.11394077
38.88172227,-77.11411029
38.8814342,-77.1138646
38.88168627,-77.11404871
38.88143491,-77.11385905
38.88176161,-77.11480307
38.88166457,-77.11401653
38.88175243,-77.11414945
38.88151884,-77.11389046
38.88147419,-77.11386793
38.88125324,-77.11384046
38.88108551,-77.11390584
38.88127672,-77.11382895
38.88183361,-77.11441653
38.88126099,-77.11382877
38.88164103,-77.11396831
38.88163256,-77.112194
38.8817898,-77.11420184
38.8817805,-77.11480861
38.88163006,-77.11394703
38.88184547,-77.11447155
38.88124471,-77.11381757
38.88182967,-77.11431092
38.88175499,-77.1148808
38.88148957,-77.11383688
38.88126087,-77.11380231
38.88123255,-77.11380374
38.88185477,-77.11459583
38.88170075,-77.11399596
38.88184446,-77.11469066
38.88157057,-77.11386483
38.88171738,-77.11400479
38.88180202,-77.11415374
38.88185441,-77.11431825
38.88140815,-77.1137892
38.88170194,-77.11397719
38.88123542,-77.11378622
38.88157296,-77.11385834
38.88119196,-77.11379581
38.88182133,-77.11418539
38.8818168,-77.11481291
38.88187718,-77.11455202
38.88188022,-77.1144784
38.88181352,-77.11483424
38.88181447,-77.11414629
38.88187378,-77.11436134
38.881238,-77.11376756
38.88183724,-77.11479657
38.88188743,-77.11456847
