latitude,longitude
38.88173782,-77.11399108
38.88182842,-77.114152
38.88189446,-77.11447286
38.88103282,-77.11513584
38.88180297,-77.11407375
38.88165253,-77.11387383
38.88190072,-77.11438167
38.88189524,-77.1143288
38.88190394,-77.11436992
38.88152778,-77.11377871
38.88190108,-77.11463612
38.88178527,-77.11401718
38.87990736,-77.11460858
38.88098716,-77.11352664
38.88062763,-77.11558109
38.88054597,-77.11561655
38.8806222,-77.11546683
38.8805263,-77.11558252
38.88051927,-77.11560231
38.88073122,-77.11551851
38.88052308,-77.11564201
38.88048583,-77.11557275
38.88048851,-77.11562788
38.88051307,-77.11569225
38.88047456,-77.11557424
38.88046294,-77.115616
38.88045465,-77.11551934
38.88045966,-77.11568993
38.88044518,-77.11565154
38.88045835,-77.11574411
38.88054233,-77.11583179
38.88040584,-77.11573213
38.88063484,-77.11591976
38.88041383,-77.11585497
38.88044822,-77.11591303
38.88046336,-77.11593466
38.88096183,-77.11559158
38.88029283,-77.11552232
38.88063889,-77.11601465
38.88027906,-77.11558794
38.88096553,-77.11534923
38.8802374,-77.11557883
38.88023239,-77.11563169
38.88101059,-77.11576175
38.88021904,-77.11561894
38.88021385,-77.11556154
38.88021957,-77.11568182
38.88035845,-77.11599373
38.88020479,-77.11559438
38.88019901,-77.11558884
38.88020437,-77.11547905
38.88019788,-77.1156786
38.88018864,-77.11555749
38.88106864,-77.11559593
38.88017612,-77.11558169
38.880175,-77.11562168
38.88016617,-77.11552029
38.88015735,-77.1155762
38.88014185,-77.11556619
38.88014644,-77.1156935
38.88015496,-77.11579531
38.88012719,-77.11562597
38.88113212,-77.11551994
38.88113546,-77.11553221
38.88013333,-77.11574167
38.88113451,-77.115176
38.88058632,-77.11623251
38.88115471,-77.11559218
38.88012707,-77.11580705
38.88039559,-77.11620193
38.88035392,-77.11617779
38.8806498,-77.11627441
38.88116902,-77.11549645
38.88034003,-77.11621087
38.88115382,-77.11587643
38.88113892,-77.11593174
38.88023936,-77.11617761
38.88028335,-77.11622935
38.88108694,-77.11610305
38.8812403,-77.11568582
38.88024079,-77.116198
38.88122302,-77.11579716
38.88123518,-77.11540895
38.88016343,-77.11611849
38.88126015,-77.11558341
38.88115972,-77.11602598
38.88127356,-77.11561423
38.88127654,-77.11561369
38.88106375,-77.11620146
38.88128787,-77.11562597
38.88123899,-77.11590683
38.8812955,-77.11563742
38.88002645,-77.11595851
38.8812977,-77.11561965
38.87997812,-77.11535805
38.88003242,-77.11598473
38.88129979,-77.11564385
38.8813036,-77.11563771
38.88006407,-77.11606764
38.88003063,-77.11600112
38.8807792,-77.11643189
38.88128226,-77.11583083
38.88108009,-77.11624234
38.88131076,-77.11571466
38.88127541,-77.11589521
38.8800106,-77.11600095
38.88070785,-77.11647456
38.88130456,-77.11582785
38.8800171,-77.11603093
38.8813312,-77.11564987
38.88014435,-77.116233
38.88131529,-77.11589848
38.88136261,-77.11559283
38.88137143,-77.11560451
38.88065385,-77.1165378
38.88136917,-77.11540061
38.88138753,-77.11561965
38.88000303,-77.11615747
38.87993073,-77.11600935
38.87992209,-77.11598998
38.8799321,-77.11601918
38.88111996,-77.116382
38.88075715,-77.11656469
38.88140857,-77.11551541
38.87988036,-77.11589807
38.87991368,-77.11600857
38.8810423,-77.11644387
38.88141334,-77.11573219
38.88141924,-77.11567258
38.88100624,-77.11648273
38.88142877,-77.11569446
38.88126361,-77.11493378
38.8810631,-77.11645865
38.88139843,-77.11522829
38.88144421,-77.11569488
38.88127547,-77.11492145
38.88103908,-77.116472
38.88069337,-77.11664456
38.88139551,-77.11600404
38.88134521,-77.113154
38.88146346,-77.11571431
38.88145393,-77.11536318
38.88066923,-77.11665856
38.88133454,-77.11498928
38.88128513,-77.11626589
38.88147187,-77.11568742
38.88072663,-77.11666131
38.88147807,-77.11551386
38.87988853,-77.11613243
38.88106334,-77.11652851
38.87976896,-77.11543816
38.88094395,-77.11661255
38.88148736,-77.11573612
38.88149154,-77.11573684
38.88059037,-77.11671018
38.87993246,-77.1162846
38.88057029,-77.11671441
38.87982344,-77.11606764
38.87988656,-77.1162219
38.88151854,-77.11569088
38.88132834,-77.11486929
38.88152199,-77.11570668
38.88152933,-77.1156792
38.88151103,-77.11583673
38.88148194,-77.11597418
38.88129836,-77.11637377
38.8797456,-77.11526322
38.88140314,-77.1162194
38.87971162,-77.11543715
38.88092291,-77.11671066
38.88063263,-77.11677783
38.88155591,-77.115377
38.87969303,-77.11539524
38.88156855,-77.11573243
38.88054466,-77.11439651
38.88053315,-77.11445105
38.88049459,-77.11436617
38.88060778,-77.11446964
38.88046348,-77.11443722
38.88053494,-77.11453396
38.88055533,-77.11455225
